ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
2282,simple,3695,,3695,1,0,visible,FISH PENDANT P92,,,,taxable,,1,,,0,0,,,,,1,,,44.75,,,,https://rousseauchain.com/wp-content/uploads/product_images/3695.jpg,,,,,,,,,0,,thelength,,1,0
2283,simple,3696,,3696,1,0,visible,PENDANT SCALLOP P93,,,,taxable,,1,,,0,0,,,,,1,,,9.55,,,,https://rousseauchain.com/wp-content/uploads/product_images/3696.jpg,,,,,,,,,0,,thelength,,1,0
2284,simple,3698,,3698,1,0,visible,WHALE TAIL P92,,,,taxable,,1,,,0,0,,,,,1,,,19.1,,,,https://rousseauchain.com/wp-content/uploads/product_images/3698.jpg,,,,,,,,,0,,thelength,,1,0
2285,simple,3700,,3700,1,0,visible,TURTLE PENDANT P92,,,,taxable,,1,,,0,0,,,,,1,,,17,,,,https://rousseauchain.com/wp-content/uploads/product_images/3700.jpg,,,,,,,,,0,,thelength,,1,0
2286,simple,3701,,3701,1,0,visible,PENDANT HOOK P93,,,,taxable,,1,,,0,0,,,,,1,,,21.7,,,,https://rousseauchain.com/wp-content/uploads/product_images/3701.jpg,,,,,,,,,0,,thelength,,1,0
2287,simple,3702,,3702,1,0,visible,PEND UNICORN P88,,,,taxable,,1,,,0,0,,,,,1,,,8.15,,,,https://rousseauchain.com/wp-content/uploads/product_images/3702.jpg,,,,,,,,,0,,thelength,,1,0
2288,simple,3704,,3704,1,0,visible,PEND UNICORN P88,,,,taxable,,1,,,0,0,,,,,1,,,21.65,,,,https://rousseauchain.com/wp-content/uploads/product_images/3704.jpg,,,,,,,,,0,,thelength,,1,0
2289,simple,3705,,3705,1,0,visible,PEND UNICORN P88,,,,taxable,,1,,,0,0,,,,,1,,,21.95,,,,https://rousseauchain.com/wp-content/uploads/product_images/3705.jpg,,,,,,,,,0,,thelength,,1,0
2291,simple,3714,,3714,1,0,visible,PEND MUSIC NOTE P83,,,,taxable,,1,,,0,0,,,,,1,,,10.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3714.jpg,,,,,,,,,0,,thelength,,1,0
2292,simple,3715,,3715,1,0,visible,PEND MUSIC NOTE P83,,,,taxable,,1,,,0,0,,,,,1,,,17.2,,,,https://rousseauchain.com/wp-content/uploads/product_images/3715.jpg,,,,,,,,,0,,thelength,,1,0
2293,simple,3717,,3717,1,0,visible,TREBLE CLEF PENDANT P83,,,,taxable,,1,,,0,0,,,,,1,,,9.8,,,,https://rousseauchain.com/wp-content/uploads/product_images/3717.jpg,,,,,,,,,0,,thelength,,1,0
2294,simple,3718,,3718,1,0,visible,TREBLE CLEF PENDANT P83,,,,taxable,,1,,,0,0,,,,,1,,,23,,,,https://rousseauchain.com/wp-content/uploads/product_images/3718.jpg,,,,,,,,,0,,thelength,,1,0
2295,simple,3722,,3722,1,0,visible,PEND ELECTRIC GUITAR P83,,,,taxable,,1,,,0,0,,,,,1,,,28.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3722.jpg,,,,,,,,,0,,thelength,,1,0
2296,simple,3723,,3723,1,0,visible,SAXOPHONE P83,,,,taxable,,1,,,0,0,,,,,1,,,21.5,,,,https://rousseauchain.com/wp-content/uploads/product_images/3723.jpg,,,,,,,,,0,,thelength,,1,0
2297,simple,3724,,3724,1,0,visible,PENDANT TUBA P83,,,,taxable,,1,,,0,0,,,,,1,,,35.25,,,,https://rousseauchain.com/wp-content/uploads/product_images/3724.jpg,,,,,,,,,0,,thelength,,1,0
2298,simple,3728,,3728,1,0,visible,PEND VIOLIN P83,,,,taxable,,1,,,0,0,,,,,1,,,37.95,,,,https://rousseauchain.com/wp-content/uploads/product_images/3728.jpg,,,,,,,,,0,,thelength,,1,0
2299,simple,3732,,3732,1,0,visible,PEND BELL P84,,,,taxable,,1,,,0,0,,,,,1,,,19.25,,,,https://rousseauchain.com/wp-content/uploads/product_images/3732.jpg,,,,,,,,,0,,thelength,,1,0
2300,simple,3733,,3733,1,0,visible,PEND BELL P84,,,,taxable,,1,,,0,0,,,,,1,,,46.9,,,,https://rousseauchain.com/wp-content/uploads/product_images/3733.jpg,,,,,,,,,0,,thelength,,1,0
2301,simple,3734,,3734,1,0,visible,PEND BELL P84,,,,taxable,,1,,,0,0,,,,,1,,,33.9,,,,https://rousseauchain.com/wp-content/uploads/product_images/3734.jpg,,,,,,,,,0,,thelength,,1,0
2302,simple,3735,,3735,1,0,visible,CUPID PENDANT P84,,,,taxable,,1,,,0,0,,,,,1,,,10.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3735.jpg,,,,,,,,,0,,thelength,,1,0
2303,simple,3736,,3736,1,0,visible,CUPID PENDANT P84,,,,taxable,,1,,,0,0,,,,,1,,,14.9,,,,https://rousseauchain.com/wp-content/uploads/product_images/3736.jpg,,,,,,,,,0,,thelength,,1,0
2304,simple,3737,,3737,1,0,visible,APPLE PENDANT P84,,,,taxable,,1,,,0,0,,,,,1,,,12.05,,,,https://rousseauchain.com/wp-content/uploads/product_images/3737.jpg,,,,,,,,,0,,thelength,,1,0
2305,simple,3738,,3738,1,0,visible,PEND CALADA P86,,,,taxable,,1,,,0,0,,,,,1,,,12.2,,,,https://rousseauchain.com/wp-content/uploads/product_images/3738.jpg,,,,,,,,,0,,thelength,,1,0
2306,simple,3739,,3739,1,0,visible,PEND CALADA P86,,,,taxable,,1,,,0,0,,,,,1,,,16.75,,,,https://rousseauchain.com/wp-content/uploads/product_images/3739.jpg,,,,,,,,,0,,thelength,,1,0
2307,simple,3740,,3740,1,0,visible,PEND CALADA P86,,,,taxable,,1,,,0,0,,,,,1,,,17.65,,,,https://rousseauchain.com/wp-content/uploads/product_images/3740.jpg,,,,,,,,,0,,thelength,,1,0
2308,simple,3741,,3741,1,0,visible,PEND BABY P84,,,,taxable,,1,,,0,0,,,,,1,,,10.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3741.jpg,,,,,,,,,0,,thelength,,1,0
2309,simple,3742,,3742,1,0,visible,PEND BABY BOOTIES P84,,,,taxable,,1,,,0,0,,,,,1,,,16.5,,,,https://rousseauchain.com/wp-content/uploads/product_images/3742.jpg,,,,,,,,,0,,thelength,,1,0
2310,simple,3743,,3743,1,0,visible,STROLLER P84,,,,taxable,,1,,,0,0,,,,,1,,,17.65,,,,https://rousseauchain.com/wp-content/uploads/product_images/3743.jpg,,,,,,,,,0,,thelength,,1,0
2311,simple,3744,,3744,1,0,visible,TEDDY BEAR P84,,,,taxable,,1,,,0,0,,,,,1,,,15.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3744.jpg,,,,,,,,,0,,thelength,,1,0
2312,simple,3745,,3745,1,0,visible,TEDDY BEAR PENDENT P84,,,,taxable,,1,,,0,0,,,,,1,,,17.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3745.jpg,,,,,,,,,0,,thelength,,1,0
2313,simple,3746,,3746,1,0,visible,PEND BOY P84,,,,taxable,,1,,,0,0,,,,,1,,,11.1,,,,https://rousseauchain.com/wp-content/uploads/product_images/3746.jpg,,,,,,,,,0,,thelength,,1,0
2314,simple,3747,,3747,1,0,visible,PEND GIRL P84,,,,taxable,,1,,,0,0,,,,,1,,,11,,,,https://rousseauchain.com/wp-content/uploads/product_images/3747.jpg,,,,,,,,,0,,thelength,,1,0
2315,simple,3748,,3748,1,0,visible,PEND BOY P84,,,,taxable,,1,,,0,0,,,,,1,,,21.15,,,,https://rousseauchain.com/wp-content/uploads/product_images/3748.jpg,,,,,,,,,0,,thelength,,1,0
2316,simple,3749,,3749,1,0,visible,PEND GIRL P84,,,,taxable,,1,,,0,0,,,,,1,,,13.05,,,,https://rousseauchain.com/wp-content/uploads/product_images/3749.jpg,,,,,,,,,0,,thelength,,1,0
2317,simple,3750,,3750,1,0,visible,GOLFER PEND P80,,,,taxable,,1,,,0,0,,,,,1,,,10.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3750.jpg,,,,,,,,,0,,thelength,,1,0
2318,simple,3751,,3751,1,0,visible,GOLFER PEND P80,,,,taxable,,1,,,0,0,,,,,1,,,33.8,,,,https://rousseauchain.com/wp-content/uploads/product_images/3751.jpg,,,,,,,,,0,,thelength,,1,0
2319,simple,3752,,3752,1,0,visible,GOLFER PEND P80,,,,taxable,,1,,,0,0,,,,,1,,,28.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3752.jpg,,,,,,,,,0,,thelength,,1,0
2320,simple,3754,,3754,1,0,visible,GOLF BAG PEND P80,,,,taxable,,1,,,0,0,,,,,1,,,27.45,,,,https://rousseauchain.com/wp-content/uploads/product_images/3754.jpg,,,,,,,,,0,,thelength,,1,0
2321,simple,3755,,3755,1,0,visible,PENDANT #1 GOLF P80,,,,taxable,,1,,,0,0,,,,,1,,,19.25,,,,https://rousseauchain.com/wp-content/uploads/product_images/3755.jpg,,,,,,,,,0,,thelength,,1,0
2322,simple,3756,,3756,1,0,visible,SKATE CHARM P80,,,,taxable,,1,,,0,0,,,,,1,,,21.3,,,,https://rousseauchain.com/wp-content/uploads/product_images/3756.jpg,,,,,,,,,0,,thelength,,1,0
2323,simple,3757,,3757,1,0,visible,PENDANT SCUBA DIVER P81,,,,taxable,,1,,,0,0,,,,,1,,,14.9,,,,https://rousseauchain.com/wp-content/uploads/product_images/3757.jpg,,,,,,,,,0,,thelength,,1,0
2324,simple,3758,,3758,1,0,visible,BALLET SHOES PEND P80,,,,taxable,,1,,,0,0,,,,,1,,,17.15,,,,https://rousseauchain.com/wp-content/uploads/product_images/3758.jpg,,,,,,,,,0,,thelength,,1,0
2325,simple,3759,,3759,1,0,visible,BALLET SHOES PEND P80,,,,taxable,,1,,,0,0,,,,,1,,,23.4,,,,https://rousseauchain.com/wp-content/uploads/product_images/3759.jpg,,,,,,,,,0,,thelength,,1,0
2326,simple,3762,,3762,1,0,visible,PENDANT SCUBA DIVER P81,,,,taxable,,1,,,0,0,,,,,1,,,29.7,,,,https://rousseauchain.com/wp-content/uploads/product_images/3762.jpg,,,,,,,,,0,,thelength,,1,0
2327,simple,3763,,3763,1,0,visible,RACKET PENDENT P81,,,,taxable,,1,,,0,0,,,,,1,,,20.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3763.jpg,,,,,,,,,0,,thelength,,1,0
2328,simple,3764,,3764,1,0,visible,RACKET PENDENT P81,,,,taxable,,1,,,0,0,,,,,1,,,10.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3764.jpg,,,,,,,,,0,,thelength,,1,0
2329,simple,3765,,3765,1,0,visible,TENNIS PLAYER PEND P81,,,,taxable,,1,,,0,0,,,,,1,,,16.25,,,,https://rousseauchain.com/wp-content/uploads/product_images/3765.jpg,,,,,,,,,0,,thelength,,1,0
2330,simple,3766,,3766,1,0,visible,WHITEWATER RAFT P81,,,,taxable,,1,,,0,0,,,,,1,,,32.55,,,,https://rousseauchain.com/wp-content/uploads/product_images/3766.jpg,,,,,,,,,0,,thelength,,1,0
2331,simple,3767,,3767,1,0,visible,PENDANT SNOWMOBILE P81,,,,taxable,,1,,,0,0,,,,,1,,,27.1,,,,https://rousseauchain.com/wp-content/uploads/product_images/3767.jpg,,,,,,,,,0,,thelength,,1,0
2332,simple,3768,,3768,1,0,visible,FLIPPER PEND. P81,,,,taxable,,1,,,0,0,,,,,1,,,27.1,,,,https://rousseauchain.com/wp-content/uploads/product_images/3768.jpg,,,,,,,,,0,,thelength,,1,0
2333,simple,3769,,3769,1,0,visible,PENDANT SKI POLLS P81,,,,taxable,,1,,,0,0,,,,,1,,,13.55,,,,https://rousseauchain.com/wp-content/uploads/product_images/3769.jpg,,,,,,,,,0,,thelength,,1,0
2334,simple,3770,,3770,1,0,visible,SKI PENDANT P81,,,,taxable,,1,,,0,0,,,,,1,,,19.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3770.jpg,,,,,,,,,0,,thelength,,1,0
2335,simple,3771,,3771,1,0,visible,SKIER PENDANT P81,,,,taxable,,1,,,0,0,,,,,1,,,16.25,,,,https://rousseauchain.com/wp-content/uploads/product_images/3771.jpg,,,,,,,,,0,,thelength,,1,0
2336,simple,3772,,3772,1,0,visible,LACROSS RACQUETS P81,,,,taxable,,1,,,0,0,,,,,1,,,9.5,,,,https://rousseauchain.com/wp-content/uploads/product_images/3772.jpg,,,,,,,,,0,,thelength,,1,0
2337,simple,3773,,3773,1,0,visible,LACROSS RAQUET P81,,,,taxable,,1,,,0,0,,,,,1,,,22.55,,,,https://rousseauchain.com/wp-content/uploads/product_images/3773.jpg,,,,,,,,,0,,thelength,,1,0
2338,simple,3774,,3774,1,0,visible,CYCLIST PENDANT P81,,,,taxable,,1,,,0,0,,,,,1,,,23.05,,,,https://rousseauchain.com/wp-content/uploads/product_images/3774.jpg,,,,,,,,,0,,thelength,,1,0
2339,simple,3775,,3775,1,0,visible,PENDANT ARCHER P81,,,,taxable,,1,,,0,0,,,,,1,,,31.05,,,,https://rousseauchain.com/wp-content/uploads/product_images/3775.jpg,,,,,,,,,0,,thelength,,1,0
2340,simple,3776,,3776,1,0,visible,DANCER PENDANT P80,,,,taxable,,1,,,0,0,,,,,1,,,16.5,,,,https://rousseauchain.com/wp-content/uploads/product_images/3776.jpg,,,,,,,,,0,,thelength,,1,0
2341,simple,3778,,3778,1,0,visible,PENDANT TROPHY P79,,,,taxable,,1,,,0,0,,,,,1,,,28.45,,,,https://rousseauchain.com/wp-content/uploads/product_images/3778.jpg,,,,,,,,,0,,thelength,,1,0
2342,simple,3779,,3779,1,0,visible,PENDANT BATTON P81,,,,taxable,,1,,,0,0,,,,,1,,,19,,,,https://rousseauchain.com/wp-content/uploads/product_images/3779.jpg,,,,,,,,,0,,thelength,,1,0
2343,simple,3780,,3780,1,0,visible,ROLLER BLADE PENDANT P81,,,,taxable,,1,,,0,0,,,,,1,,,31.2,,,,https://rousseauchain.com/wp-content/uploads/product_images/3780.jpg,,,,,,,,,0,,thelength,,1,0
2344,simple,3781,,3781,1,0,visible,PENDANT PLAYING CARDS P81,,,,taxable,,1,,,0,0,,,,,1,,,37.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3781.jpg,,,,,,,,,0,,thelength,,1,0
2345,simple,3782,,3782,1,0,visible,HORSE RASING PEND P81,,,,taxable,,1,,,0,0,,,,,1,,,31.2,,,,https://rousseauchain.com/wp-content/uploads/product_images/3782.jpg,,,,,,,,,0,,thelength,,1,0
2346,simple,3783,,3783,1,0,visible,HOCKEY PLAYER PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,9.05,,,,https://rousseauchain.com/wp-content/uploads/product_images/3783.jpg,,,,,,,,,0,,thelength,,1,0
2347,simple,3784,,3784,1,0,visible,HOCKEY PLAYER PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,21.95,,,,https://rousseauchain.com/wp-content/uploads/product_images/3784.jpg,,,,,,,,,0,,thelength,,1,0
2348,simple,3785,,3785,1,0,visible,HOCKEY PLAYER PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,16.25,,,,https://rousseauchain.com/wp-content/uploads/product_images/3785.jpg,,,,,,,,,0,,thelength,,1,0
2349,simple,3786,,3786,1,0,visible,HOCKEY PLAYER PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,29.8,,,,https://rousseauchain.com/wp-content/uploads/product_images/3786.jpg,,,,,,,,,0,,thelength,,1,0
2350,simple,3787,,3787,1,0,visible,HOCKEY  PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,14.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3787.jpg,,,,,,,,,0,,thelength,,1,0
2351,simple,3788,,3788,1,0,visible,HOCKEY PLAYER PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,21.95,,,,https://rousseauchain.com/wp-content/uploads/product_images/3788.jpg,,,,,,,,,0,,thelength,,1,0
2352,simple,3790,,3790,1,0,visible,BASKET BALL PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,15.1,,,,https://rousseauchain.com/wp-content/uploads/product_images/3790.jpg,,,,,,,,,0,,thelength,,1,0
2354,simple,3791,,3791,1,0,visible,BASKET BALL PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,16.5,,,,https://rousseauchain.com/wp-content/uploads/product_images/3791.jpg,,,,,,,,,0,,thelength,,1,0
2355,simple,3792,,3792,1,0,visible,BASKET BALL PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,12.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3792.jpg,,,,,,,,,0,,thelength,,1,0
2356,simple,3793,,3793,1,0,visible,BASKETBALL PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,35.25,,,,https://rousseauchain.com/wp-content/uploads/product_images/3793.jpg,,,,,,,,,0,,thelength,,1,0
2357,simple,3794,,3794,1,0,visible,BASKETBALL PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,17.65,,,,https://rousseauchain.com/wp-content/uploads/product_images/3794.jpg,,,,,,,,,0,,thelength,,1,0
2358,simple,3795,,3795,1,0,visible,PENDANT BASEBALL P79,,,,taxable,,1,,,0,0,,,,,1,,,24.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3795.jpg,,,,,,,,,0,,thelength,,1,0
2359,simple,3796,,3796,1,0,visible,BAT AND GLOVE P79,,,,taxable,,1,,,0,0,,,,,1,,,19.25,,,,https://rousseauchain.com/wp-content/uploads/product_images/3796.jpg,,,,,,,,,0,,thelength,,1,0
2360,simple,3797,,3797,1,0,visible,BASEBALL PLAYER P79,,,,taxable,,1,,,0,0,,,,,1,,,19,,,,https://rousseauchain.com/wp-content/uploads/product_images/3797.jpg,,,,,,,,,0,,thelength,,1,0
2361,simple,3798,,3798,1,0,visible,BASEBALL PLAYER P79,,,,taxable,,1,,,0,0,,,,,1,,,43.2,,,,https://rousseauchain.com/wp-content/uploads/product_images/3798.jpg,,,,,,,,,0,,thelength,,1,0
2362,simple,3799,,3799,1,0,visible,FOOTBALL HELMET P79,,,,taxable,,1,,,0,0,,,,,1,,,19.05,,,,https://rousseauchain.com/wp-content/uploads/product_images/3799.jpg,,,,,,,,,0,,thelength,,1,0
2363,simple,3800,,3800,1,0,visible,FOOTBALL HELMET P79,,,,taxable,,1,,,0,0,,,,,1,,,17.65,,,,https://rousseauchain.com/wp-content/uploads/product_images/3800.jpg,,,,,,,,,0,,thelength,,1,0
2364,simple,3801,,3801,1,0,visible,SOCCER PENDANT P79,,,,taxable,,1,,,0,0,,,,,1,,,9.55,,,,https://rousseauchain.com/wp-content/uploads/product_images/3801.jpg,,,,,,,,,0,,thelength,,1,0
2365,simple,3802,,3802,1,0,visible,PENDANT SOCCER BALL P79,,,,taxable,,1,,,0,0,,,,,1,,,21.7,,,,https://rousseauchain.com/wp-content/uploads/product_images/3802.jpg,,,,,,,,,0,,thelength,,1,0
2366,simple,3803,,3803,1,0,visible,SOCCER PLAYER PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,32.4,,,,https://rousseauchain.com/wp-content/uploads/product_images/3803.jpg,,,,,,,,,0,,thelength,,1,0
2367,simple,3804,,3804,1,0,visible,SOCCER PLAYER PEND P79,,,,taxable,,1,,,0,0,,,,,1,,,20.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3804.jpg,,,,,,,,,0,,thelength,,1,0
2368,simple,3805,,3805,1,0,visible,CURLING PENDANT P80,,,,taxable,,1,,,0,0,,,,,1,,,20.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3805.jpg,,,,,,,,,0,,thelength,,1,0
2369,simple,3806,,3806,1,0,visible,BOWLING PENDANT P80,,,,taxable,,1,,,0,0,,,,,1,,,17.65,,,,https://rousseauchain.com/wp-content/uploads/product_images/3806.jpg,,,,,,,,,0,,thelength,,1,0
2370,simple,3807,,3807,1,0,visible,BOWLING PENDANT P80,,,,taxable,,1,,,0,0,,,,,1,,,20.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3807.jpg,,,,,,,,,0,,thelength,,1,0
2371,simple,3808,,3808,1,0,visible,COMEDY/TRAGEDY P87,,,,taxable,,1,,,0,0,,,,,1,,,15.1,,,,https://rousseauchain.com/wp-content/uploads/product_images/3808.jpg,,,,,,,,,0,,thelength,,1,0
2372,simple,3809,,3809,1,0,visible,COMEDY/TRAGEDY P87,,,,taxable,,1,,,0,0,,,,,1,,,28.5,,,,https://rousseauchain.com/wp-content/uploads/product_images/3809.jpg,,,,,,,,,0,,thelength,,1,0
2373,simple,3811,,3811,1,0,visible,PENDANT COMB P87,,,,taxable,,1,,,0,0,,,,,1,,,10.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3811.jpg,,,,,,,,,0,,thelength,,1,0
2374,simple,3812,,3812,1,0,visible,BLOW DRYER P87,,,,taxable,,1,,,0,0,,,,,1,,,51.5,,,,https://rousseauchain.com/wp-content/uploads/product_images/3812.jpg,,,,,,,,,0,,thelength,,1,0
2376,simple,3814,,3814,1,0,visible,MEDICAL SYMBOL P87,,,,taxable,,1,,,0,0,,,,,1,,,17.5,,,,https://rousseauchain.com/wp-content/uploads/product_images/3814.jpg,,,,,,,,,0,,thelength,,1,0
2377,simple,3815,,3815,1,0,visible,ID ENGRAVABLE PEND P76,,,,taxable,,1,,,0,0,,,,,1,,,15.1,,,,https://rousseauchain.com/wp-content/uploads/product_images/3815.jpg,,,,,,,,,0,,thelength,,1,0
2378,simple,3817,,3817,1,0,visible,ID ENGRAVABLE PEND P76,,,,taxable,,1,,,0,0,,,,,1,,,40.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3817.jpg,,,,,,,,,0,,thelength,,1,0
2379,simple,3821,,3821,1,0,visible,GRADUATION PEND P84,,,,taxable,,1,,,0,0,,,,,1,,,10.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3821.jpg,,,,,,,,,0,,thelength,,1,0
2380,simple,3822,,3822,1,0,visible,GRADUATION PEND P84,,,,taxable,,1,,,0,0,,,,,1,,,22.4,,,,https://rousseauchain.com/wp-content/uploads/product_images/3822.jpg,,,,,,,,,0,,thelength,,1,0
2381,simple,3823,,3823,1,0,visible,GRADUATION PEND P84,,,,taxable,,1,,,0,0,,,,,1,,,16.7,,,,https://rousseauchain.com/wp-content/uploads/product_images/3823.jpg,,,,,,,,,0,,thelength,,1,0
2382,simple,3824,,3824,1,0,visible,GRADUATION PEND P84,,,,taxable,,1,,,0,0,,,,,1,,,15.6,,,,https://rousseauchain.com/wp-content/uploads/product_images/3824.jpg,,,,,,,,,0,,thelength,,1,0
2383,simple,3829,,3829,1,0,visible,GRADUATION PEND P84,,,,taxable,,1,,,0,0,,,,,1,,,30.3,,,,https://rousseauchain.com/wp-content/uploads/product_images/3829.jpg,,,,,,,,,0,,thelength,,1,0
2384,simple,3831,,3831,1,0,visible,CLOWN MOVEABLE P83,,,,taxable,,1,,,0,0,,,,,1,,,29.7,,,,https://rousseauchain.com/wp-content/uploads/product_images/3831.jpg,,,,,,,,,0,,thelength,,1,0
2385,simple,3832,,3832,1,0,visible,CLOWN MOVEABLE P83,,,,taxable,,1,,,0,0,,,,,1,,,24.7,,,,https://rousseauchain.com/wp-content/uploads/product_images/3832.jpg,,,,,,,,,0,,thelength,,1,0
2386,simple,3833,,3833,1,0,visible,CLOWN MOVEABLE P83,,,,taxable,,1,,,0,0,,,,,1,,,31.05,,,,https://rousseauchain.com/wp-content/uploads/product_images/3833.jpg,,,,,,,,,0,,thelength,,1,0
2387,simple,3838,,3838,1,0,visible,PENDANT DOG CARTOON P84,,,,taxable,,1,,,0,0,,,,,1,,,23.95,,,,https://rousseauchain.com/wp-content/uploads/product_images/3838.jpg,,,,,,,,,0,,thelength,,1,0
2388,simple,3839,,3839,1,0,visible,DRUMMER  MOVEABLE P83,,,,taxable,,1,,,0,0,,,,,1,,,23.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3839.jpg,,,,,,,,,0,,thelength,,1,0
2389,simple,3840,,3840,1,0,visible,TIN MAN MOVEABLE P83,,,,taxable,,1,,,0,0,,,,,1,,,36.5,,,,https://rousseauchain.com/wp-content/uploads/product_images/3840.jpg,,,,,,,,,0,,thelength,,1,0
2390,simple,3841,,3841,1,0,visible,CLOWN ON SCOOTER P83,,,,taxable,,1,,,0,0,,,,,1,,,33.8,,,,https://rousseauchain.com/wp-content/uploads/product_images/3841.jpg,,,,,,,,,0,,thelength,,1,0
2391,simple,3842,,3842,1,0,visible,PENDANT SWORD P87,,,,taxable,,1,,,0,0,,,,,1,,,13.75,,,,https://rousseauchain.com/wp-content/uploads/product_images/3842.jpg,,,,,,,,,0,,thelength,,1,0
2392,simple,3843,,3843,1,0,visible,PENDANT SUN FLOWER P87,,,,taxable,,1,,,0,0,,,,,1,,,8.15,,,,https://rousseauchain.com/wp-content/uploads/product_images/3843.jpg,,,,,,,,,0,,thelength,,1,0
2393,simple,3846,,3846,1,0,visible,PENDANT BOTTLE CAP P87,,,,taxable,,1,,,0,0,,,,,1,,,13.75,,,,https://rousseauchain.com/wp-content/uploads/product_images/3846.jpg,,,,,,,,,0,,thelength,,1,0
2394,simple,3847,,3847,1,0,visible,PENDANT SNOW FLAKE P87,,,,taxable,,1,,,0,0,,,,,1,,,8.25,,,,https://rousseauchain.com/wp-content/uploads/product_images/3847.jpg,,,,,,,,,0,,thelength,,1,0
2395,simple,3848,,3848,1,0,visible,PENDANT MOTORCYCLE P90,,,,taxable,,1,,,0,0,,,,,1,,,28.35,,,,https://rousseauchain.com/wp-content/uploads/product_images/3848.jpg,,,,,,,,,0,,thelength,,1,0
2396,simple,3849,,3849,1,0,visible,UNICORN HOLDER P87,,,,taxable,,1,,,0,0,,,,,1,,,31.2,,,,https://rousseauchain.com/wp-content/uploads/product_images/3849.jpg,,,,,,,,,0,,thelength,,1,0
2398,simple,3853,,3853,1,0,visible,EAGLE PENDANT P90,,,,taxable,,1,,,0,0,,,,,1,,,17.55,,,,https://rousseauchain.com/wp-content/uploads/product_images/3853.jpg,,,,,,,,,0,,thelength,,1,0
2399,simple,3855,,3855,1,0,visible,EAGLE PENDANT P90,,,,taxable,,1,,,0,0,,,,,1,,,29.6,,,,https://rousseauchain.com/wp-content/uploads/product_images/3855.jpg,,,,,,,,,0,,thelength,,1,0
2400,simple,3856,,3856,1,0,visible,EAGLE PENDANT P90,,,,taxable,,1,,,0,0,,,,,1,,,20.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3856.jpg,,,,,,,,,0,,thelength,,1,0
2401,simple,3857,,3857,1,0,visible,EAGLE PENDANT P90,,,,taxable,,1,,,0,0,,,,,1,,,13.05,,,,https://rousseauchain.com/wp-content/uploads/product_images/3857.jpg,,,,,,,,,0,,thelength,,1,0
2402,simple,3858,,3858,1,0,visible,EAGLE PENDANT P90,,,,taxable,,1,,,0,0,,,,,1,,,17.85,,,,https://rousseauchain.com/wp-content/uploads/product_images/3858.jpg,,,,,,,,,0,,thelength,,1,0
2403,simple,3860,,3860,1,0,visible,EAGLE PENDANT P90,,,,taxable,,1,,,0,0,,,,,1,,,24.4,,,,https://rousseauchain.com/wp-content/uploads/product_images/3860.jpg,,,,,,,,,0,,thelength,,1,0
2404,simple,3861,,3861,1,0,visible,EAGLE HEAD PEND P90,,,,taxable,,1,,,0,0,,,,,1,,,24.7,,,,https://rousseauchain.com/wp-content/uploads/product_images/3861.jpg,,,,,,,,,0,,thelength,,1,0
